Program,UW Course Code,UW Course,Foreign Course,Host University,Year Taken,
Architectural Engineering,AE 301,AE 301 - Building Enclosure Systems (technical elective  list A),T000055191 - Facade Design and Engineering,Southern Denmark University ,2022,
Architectural Engineering,AE 310,AE 310 - Introduction to Structural Design,051595 - Structural Design,Politecnico di Milano ,2022,
Architectural Engineering,AE 310,AE 310 - Introduction to Structural Design,CIV223 - Structural Engineering Design and Appraisal,University of Sheffield ,2022,
Architectural Engineering,AE 310,AE 310 - Introduction to Structural Design,124BSD1 - Building Structures 1,Czech Technical University ,2022,
Architectural Engineering,AE 310,AE 310 - Introduction to Structural Design,T000031101 - Concrete Structures According to Eurocode 2,Southern Denmark University ,2022,
Architectural Engineering,AE 325,AE 325 - Architectural Engineering Studio 2,055774 - Architectural Design Studio,Politecnico di Milano ,2022,
Architectural Engineering,AE 325,AE 325 - Architectural Engineering Studio 2,ARC225 - Architectural Design 3,University of Sheffield ,2022,
Architectural Engineering,AE 325,AE 325 - Project 1 Studio,129DS1 - Design Studio 1 (Residential Buildings),Czech Technical University ,2022,
Architectural Engineering,AE 325,AE 325 - Architectural Engineering Studio 2,Exchange Project in Civil Engineering,Southern Denmark University ,2022,
Architectural Engineering,ARCH 570,ARCH 570 - Special Topics in Building Technology and Environmental,124IBD - Integrated Building Design,Czech Technical University ,2022,
Architectural Engineering,CIVE 422,CIVE 422 - Finite Element Analysis (technical elective  list C),T000016101 - Finite Element Methods,Southern Denmark University ,2022,
Architectural Engineering,CIVE 507,CIVE 507 - Building Science and Technology,053221 - Advanced Building Physics,Politecnico di Milano ,2022,
Architectural Engineering,CIVE 507,CIVE 507 - Building Science and Technology,ARC207 - Environment and Technology 3,University of Sheffield ,2022,
Architectural Engineering,CIVE 507,CIVE 507 - Building Science and Technology,124BPH - Building Physics,Czech Technical University ,2022,
Architectural Engineering,GENE 22A,GENE 22A - complementary studies elective (list A),055798 - Social Impact  Rosl amd Responsibility of Technology and Engineering,Politecnico di Milano ,2022,
