0|Introduction to Experiential Learning|AFM 100||The objective of this non-credit course is to expose students to the expectations for experiential learning, helping them develop the skills and relationships needed to allocate their time and maintain balance across their academics, career, health and wellness, and community.
1|Introduction to Financial Accounting|AFM 101||This course is an introduction to financial accounting. The preparation and use of financial statements is examined. The accounting cycle and assets and liabilities reporting, is discussed.
2|Introduction to Managerial Accounting|AFM 102||This course is an introduction to the preparation and use of accounting information for management decision-making and reporting. Cost behaviour, cost accumulation systems, and short- and long-term decision models are discussed.
3|Professional Pathways and Problem-Solving|AFM 111||This course assists students in developing the knowledge, skills, and values needed to manage their learning, ethical behaviour, and career path as a professional with a responsibility to society. The course also provides an opportunity to develop problem-solving, information literacy, and communication skills.
4|Analytic Methods for Business 1|AFM 112||This course introduces analytical methods commonly used in business for accounting and finance professionals. The course introduces students to the cross-industry standard process for data mining as an approach to business problem recognition and solving. Students also apply emerging technologies as a means to understand concepts such as variables, data types, subsets, formulas for creating derived variables, and simple models.
5|Analytic Methods for Business 2|AFM 113||This is the second in a two-course sequence that introduces analytical and statistical methods commonly used in business for accounting and finance professionals.
6|Introduction to Global Financial Markets|AFM 121||This course is the first in a two-course sequence which offers an overview of global capital markets. The course describes the role of finance in the modern global economy, introduces the major classes of financial assets, and presents some basic foundational principles of financial decision-making.
7|Accounting Information for Managers|AFM 123||This course is designed for non-accountants who will use accounting information for planning, control, and decision-making.
8|Introduction to Global Capital Markets and Financial Analytics|AFM 127||This course introduces financial markets and institutions, examining the role of finance in the global economy while introducing foundational principles of financial decision making. The course utilizes analytic and computational approaches to the topics, enabling students to develop data management and analysis competencies.
9|Introduction to Business in North America|AFM 131||The functional areas of business: finance, personnel administration, production, marketing, and accounting are examined within differing organizational structures. Coverage also includes study of the principles of effective management and the financial system as a source of corporate capital.
10|Introduction to Business Stages|AFM 132||This course introduces key business concepts required to provide a solid foundation for accounting and finance majors. Topics include business life cycle stages, business models, and types of business decisions.
11|Foundations for Management Accounting|AFM 182||This course continues the development of skills introduced in the foundational financial reporting course, with a greater focus on foundational analysis and forecasting, and expands the stakeholder context to public company stakeholders. The course enhances problem-solving skills through a problem-based learning delivery model.
12|Foundations for Financial Reporting|AFM 191||This course is a foundation for the practice of financial reporting. Students prepare financial statements and other financial reports designed to meet the needs of internal and external stakeholders of private companies. Students perform introductory financial analysis to inform business decisions and solve business problems considering the appropriate business context. The course develops problem-solving skills through a problem-based learning delivery model.
13|Continuation of Experiential Learning|AFM 200||The objective of this non-credit course is to continue to expose students to the expectations for experiential learning, and help them to continue to develop the skills and relationships needed to allocate their time and maintain balance across their academics, career, health and wellness, and community.
14|Introduction to Financial Services|AFM 205||This course is one of a set of courses that focuses on the knowledge and skills that enhance experiential learning during a first or second co-op work term. The course covers topics such as an overview of the financial services industry, professional ethics, and problem-solving skills that are applicable to financial decisions.
15|Introduction to Tax|AFM 206||This course is one of a set of courses that focuses on the knowledge and skills that enhance experiential learning during a first co-op work term. Topic areas for this course include tax law, professional ethics, and leveraging technology for taxation competencies.
16|Introduction to Performance Analytics|AFM 207||This course is one of a set of courses that focuses on the knowledge and skills that enhance experiential learning during a first or second co-op work term. Topic areas for this course include performance measurement, professional ethics, and leveraging technology for performance analytics.
17|Introduction to Assurance|AFM 208||This course is one of a set of courses that focuses on the knowledge and skills that enhance experiential learning during a first co-op work term. Topic areas for this course include assurance, professional ethics, and leveraging technology for assurance competencies.
18|Financial Analysis and Planning|AFM 212||This course develops an in-depth understanding of financial statements as a system for analysis and planning as a foundation for upper-year accounting and finance courses.
19|Business Law|AFM 231||Particular attention is given to the law relating to contracts and business organizations. Other areas of study include sources of law, the judicial process, real and personal property, torts, agency, credit, and negotiable instruments.
20|Impact of Technology on Business|AFM 241||This is an introductory course focusing both on foundational concepts and emerging trends in the impacts and usage of technology in accounting and finance. Potential topics include strategic investment, planning and spending for technology in businesses, and current disruptive technologies impacting global business processes.
21|Analytic Methods for Business 3|AFM 244||This course introduces students to the foundations needed for data mining and more advanced upper-year business analytics electives. Topics include regression analysis, classification analysis (e.g., logistic regression, decision trees), and clustering analysis.
22|Global Capital Markets and Financial Analytics|AFM 272||This course offers an overview of global capital markets and asset valuation. Topics may include an overview of financial markets and instruments, time value of money, valuation of financial assets, and financial risk and portfolio management. The course utilizes an analytic and computational approach to the topics, enabling students to develop data management and analysis competencies.
23|Financial Instruments and Capital Markets|AFM 273||This course is the second in a two-course sequence which offers an overview of global capital markets. The course focuses on valuation of financial instruments and the theories of financial risk and diversification.
24|Introduction to Corporate Finance|AFM 274||This course is the first in a two-course sequence that deals with corporate financial decision-making. Topics may include capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, and short-term finance.
25|Corporate Finance|AFM 275||This is the first in a two-course sequence that deals with corporate financial decision making. Topics may include capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, and short-term finance. Where suitable, topics are treated from a mathematical and quantitative perspective.
26|Financial Statement Analysis|AFM 276||This course introduces fundamental tools of analysis and valuation to prepare students to research, interpret, and analyze financial statements. The course examines financial reporting from the perspective of the financial statement user with an emphasis on interpretation of financial disclosures for cash flow analysis, risk assessment, forecasting, and decision making.
27|Introduction to Organizational Behaviour|AFM 280||An introduction to the concepts concerning the behaviour of individuals and groups in organizations. Topics may include motivation, influence, communication, diversity, goal-setting and incentive compensation, culture and ethical systems, and decision-making.
28|Intermediate Financial Accounting 1|AFM 291||A first course in intermediate accounting dealing with the theory and practice of financial statement preparation and reporting. The emphasis will be on asset valuation and the related impact on income measurement.
29|Connections to Ethical Context|AFM 311||This course focuses on developing the qualities and transferable skills necessary for integration, continuous learning, and professional development. The course is oriented around the ethical and moral issues faced by accounting and finance professionals.
30|Personal Financial Planning and Taxation|AFM 321||This course integrates financial planning and taxes for individuals. It connects elements of planning, saving, spending, and reporting to budgeting and tax implications, as they evolve over an individual's lifetime.
31|Derivative Securities|AFM 322||Introduction to valuation and applications of financial derivatives such as options, futures, forwards, and swaps.
32|Quantitative Foundations for Finance|AFM 323||This course introduces analytical and statistical methods commonly used in finance, with applications to investment management and corporate finance.
33|Wealth Management|AFM 324||In this course students will learn core wealth management concepts that will give them a greater understanding of the wealth management industry. The content will focus on key areas of wealth management including portfolio management, asset allocation, risk management, performance evaluation, manager selection, tax efficient strategies as well as the use of new technologies in the wealth management industry.
