0|Akita International University|Ultra Competitive|English|Akita International University Exchange Program|Spring 2024|Akita, Japan
1|American College of Greece (ACG)|Very Competitive|English|American College of Greece Exchange Program|Fall 2023, Winter 2024|Athens, Greece
2|Australian National University (ANU)|Competitive|English|Australian National University Exchange Program|Winter 2024|Canberra, Australia
3|Bayes Business School at City University of London|Ultra Competitive|English|Bayes Business School at City University of London Exchange Program|Fall 2023, Winter 2024|London, England, United Kingdom
4|Bilkent University|Competitive|English|Bilkent University Exchange Program|Fall 2023, Winter 2024|Ankara, Turkey
5|Chalmers University of Technology|Competitive|English|Chalmers University of Technology Exchange Program|Fall 2023, Winter 2024|Gothenburg, Sweden
6|Charles III University of Madrid (UC3M)|Very Competitive|English|Charles III University of Madrid Exchange Program|Fall 2023, Winter 2024|Madrid, Spain
7|Chinese University of Hong Kong (CUHK)||English|Chinese University of Hong Kong Summer Program||Hong Kong, Hong Kong SAR China
8|Chinese University of Hong Kong (CUHK)||English|Chinese University of Hong Kong Summer Research Program (SURP)||Hong Kong, Hong Kong SAR China
9|City University of Hong Kong (City U)|Competitive|English|City University of Hong Kong Exchange Program|Winter 2024|Hong Kong, Hong Kong SAR China
10|Czech Technical University in Prague (CTU)|Competitive|English|Czech Technical University Exchange Program|Winter 2024|Prague, Czech Republic
11|Deakin University|Competitive|English|Deakin University Exchange Program|Winter 2024|Melbourne, Australia
12|Erasmus University Rotterdam|Very Competitive|English|Erasmus University Rotterdam|Fall 2023, Winter 2024|Rotterdam, Netherlands
13|ETH Zurich|Ultra Competitive|English|ETH Zurich Exchange Program|Fall 2023, Winter 2024|Zurich, Switzerland
14|Ewha Womans University|Very Competitive|English|Ewha Womans University Exchange Program|Winter 2024|Seoul, South Korea
15|Ewha Womans University||English|Ewha Womans University Summer Program||Seoul, South Korea
16|Graz University of Technology (TU Graz)|Competitive|English|Graz University of Technology Exchange Program|Winter 2024|Graz, Austria
17|Griffith University|Ultra Competitive|English|Griffith University Exchange|Fall 2023, Spring 2024, Winter 2024|Brisbane/Gold Coast, Queensland, Australia
18|Hamburg University of Technology (TUHH)|Competitive|English, German|Hamburg University of Technology Exchange Program|Fall 2023, Spring 2024|Hamburg, Germany
19|Heriot-Watt University|Competitive|English|Heriot-Watt University Exchange Program|Fall 2023, Winter 2024|Edinburgh, Scotland, United Kingdom
20|Hong Kong Polytechnic University (Poly U)|||Hong Kong Polytechnic University (Poly U) Optometry Externship|Fall 2023, Winter 2024|Hong Kong, Hong Kong SAR China
21|HZ University of Applied Sciences|Competitive|English|HZ University of Applied Sciences Exchange Program|Fall 2023, Winter 2024|Vlissingen, Netherlands
22|IIT Delhi|Competitive|English|Indian Institute of Technology, Delhi Exchange Program|Fall 2023, Winter 2024|Delhi, India
23|Istanbul Technical University (ITU)|Competitive|English|Istanbul Technical University Exchange Program|Fall 2023, Winter 2024|Istanbul, Turkey
24|Karlsruhe Institute of Technology (KIT)|Competitive|English|Karlsruhe Institute of Technology Exchange Program|Fall 2023, Spring 2024|Karlsruhe, Germany
25|King's College London (KCL)|Ultra Competitive|English|King's College London Exchange Program|Fall 2023, Winter 2024|London, United Kingdom
26|Korea Advanced Institute of Science & Technology (KAIST)||English|Korea Advanced Institute of Science & Technology (KAIST) Summer Program||Daejeon, South Korea
27|Korea Advanced Institute of Science & Technology (KAIST)|Very Competitive|English|Korea Advanced Institute of Science and Technology Exchange Program|Winter 2024|Daejeon, South Korea
28|Kyoto University|Very Competitive|English|Kyoto University Exchange Program|Fall 2023, Spring 2024|Kyoto, Japan
29|University of Lancaster|Competitive|English|Lancaster University Exchange Program|Fall 2023, Winter 2024|Lancaster, England, United Kingdom
30|University of Leeds||English|Leeds International Summer School (LISS)||Leeds, United Kingdom
31|Leiden University|Very Competitive|English|Leiden University Exchange Program|Fall 2023, Winter 2024|Leiden, Netherlands
32|Lingnan University|Competitive|English|Lingnan University Exchange Program|Winter 2024|Tuen Mun, New Territories , Hong Kong SAR China
33|University of Lund|Competitive|English, Swedish|Lund University - Faculty of Engineering Exchange Program|Fall 2023|Lund, Sweden
34|University of Lund|Competitive|English, Swedish|Lund University - Faculty of Humanities and Theology Exchange Program|Fall 2023, Winter 2024|Lund, Sweden
35|University of Lund|Competitive||Lund University - Faculty of Science Exchange Program|Fall 2023, Winter 2024|Lund, Sweden
36|Macquarie University|Competitive|English|Macquarie University Exchange Program|Winter 2024|Sydney/North Ryde, New South Wales, Australia
37|Malmo University|Competitive|English, Swedish|Malmö University Exchange Program|Fall 2023, Winter 2024|Malmo, Sweden
38|Paris - Waterloo Exchange, MICEFA-Triade (Consortium of Universities in Paris)|Competitive|English, French|MICEFA Exchange Program|Fall 2023, Winter 2024|Paris, France
39|Paris - Waterloo Exchange, MICEFA-Triade (Consortium of Universities in Paris)||English, French|MICEFA-Triade (Consortium of Universities in Paris) Medical and Public Health Summer Program||Paris, France
40|Paris - Waterloo Exchange, MICEFA-Triade (Consortium of Universities in Paris)||English|MICEFA-Triade (Consortium of Universities in Paris) Summer Program||Paris, France
